V 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
-1.472 75039.9 2140.14 1909.14 1833.54 1795.96 1773.43 1758.41 1747.66 1739.58 1733.28 1728.23 1724.08 1720.61 1717.67 1715.13 1712.93 1711 1709.29 1707.76 1706.39 1705.16
-1.471 75045.2 2140.04 1909.02 1833.41 1795.81 1773.29 1758.26 1747.51 1739.43 1733.13 1728.08 1723.93 1720.46 1717.51 1714.98 1712.78 1710.85 1709.13 1707.61 1706.24 1705
-1.47 75050.6 2139.93 1908.89 1833.27 1795.67 1773.14 1758.12 1747.36 1739.28 1732.98 1727.92 1723.77 1720.3 1717.36 1714.82 1712.62 1710.69 1708.98 1707.45 1706.08 1704.84
-1.469 75055.8 2139.83 1908.76 1833.13 1795.53 1773 1757.97 1747.21 1739.13 1732.83 1727.77 1723.62 1720.15 1717.2 1714.67 1712.47 1710.53 1708.82 1707.3 1705.93 1704.69
-1.468 75061.2 2139.74 1908.64 1833 1795.39 1772.85 1757.82 1747.06 1738.98 1732.68 1727.62 1723.46 1719.99 1717.05 1714.52 1712.31 1710.38 1708.67 1707.14 1705.77 1704.53
-1.467 75066.4 2139.64 1908.51 1832.86 1795.25 1772.71 1757.67 1746.92 1738.83 1732.52 1727.46 1723.31 1719.84 1716.89 1714.36 1712.16 1710.22 1708.51 1706.98 1705.61 1704.38
-1.466 75071.8 2139.54 1908.39 1832.72 1795.1 1772.56 1757.53 1746.77 1738.68 1732.37 1727.31 1723.16 1719.69 1716.74 1714.21 1712 1710.07 1708.35 1706.83 1705.46 1704.22
-1.465 75077.1 2139.44 1908.26 1832.59 1794.96 1772.42 1757.38 1746.62 1738.53 1732.22 1727.16 1723.01 1719.53 1716.59 1714.05 1711.85 1709.91 1708.2 1706.67 1705.3 1704.06
-1.464 75082.4 2139.34 1908.13 1832.45 1794.82 1772.27 1757.23 1746.47 1738.38 1732.07 1727.01 1722.85 1719.38 1716.43 1713.9 1711.69 1709.76 1708.04 1706.52 1705.14 1703.91
-1.463 75087.7 2139.24 1908.01 1832.31 1794.68 1772.13 1757.08 1746.32 1738.23 1731.92 1726.85 1722.7 1719.23 1716.28 1713.74 1711.54 1709.6 1707.89 1706.36 1704.99 1703.75
-1.462 75093.1 2139.14 1907.88 1832.18 1794.54 1771.98 1756.94 1746.17 1738.08 1731.77 1726.7 1722.55 1719.07 1716.12 1713.59 1711.38 1709.45 1707.73 1706.2 1704.83 1703.59
-1.461 75098.5 2139.04 1907.75 1832.04 1794.4 1771.84 1756.79 1746.02 1737.93 1731.61 1726.55 1722.39 1718.92 1715.97 1713.43 1711.23 1709.29 1707.58 1706.05 1704.68 1703.44
-1.46 75103.8 2138.94 1907.63 1831.9 1794.25 1771.69 1756.64 1745.87 1737.78 1731.46 1726.4 1722.24 1718.77 1715.82 1713.28 1711.07 1709.14 1707.42 1705.89 1704.52 1703.28
-1.459 75109.1 2138.84 1907.5 1831.77 1794.11 1771.55 1756.49 1745.72 1737.63 1731.31 1726.25 1722.09 1718.61 1715.66 1713.13 1710.92 1708.98 1707.27 1705.74 1704.36 1703.13
